sample_time;computation_time;detection;fpic_rank;fpim_rank;fwaf_rank;fiml_rank;fx_rank;det;diff
0.000000;0.009508;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.050072;0.007003;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.099913;0.005998;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.150046;0.006000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.199945;0.007516;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.250055;0.006000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.300328;0.006003;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.349956;0.004000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.400079;0.004003;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.449928;0.005515;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.500081;0.005999;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.549923;0.005999;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.600075;0.005511;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.649940;0.005002;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.700063;0.004999;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.749970;0.007007;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.800087;0.013518;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.849986;0.011999;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.900098;0.006516;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
0.950119;0.010001;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.000099;0.005008;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.050110;0.007000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.099976;0.009516;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.150138;0.006999;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.199983;0.006517;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.250125;0.006000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.299978;0.006001;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.350124;0.006006;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.399982;0.006000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.450143;0.007000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.500007;0.007515;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.550164;0.006516;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.599998;0.007000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.650169;0.007001;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.700128;0.007000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.750160;0.007010;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.800151;0.006998;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.850039;0.006514;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.900139;0.006000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
1.950035;0.006999;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.000172;0.006002;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.050010;0.005514;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.100175;0.006001;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.150036;0.006006;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.200163;0.006001;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.250047;0.005516;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.300194;0.006001;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.350046;0.007000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.400202;0.005000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.450200;0.006514;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.500148;0.007000;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.550205;0.007008;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.600055;0.006001;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
2.650217;0.005514;0;0.000000;0.000000;0.000000;0.000000;0.000000 ;0;0
