sample_time,computation_time,detection,fpic_rank,fpim_rank,fwaf_rank,fiml_rank,fx_rank
0.000000,0.008509,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.050148,0.006001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.100007,0.004999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.150158,0.006005,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.200036,0.005509,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.250180,0.006007,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.300021,0.006003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.350188,0.006000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.400192,0.005035,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.450169,0.005151,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.500155,0.005040,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.550086,0.007000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.600165,0.007135,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.650023,0.006996,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.700172,0.007041,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.750067,0.004964,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.800189,0.005999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.850038,0.006509,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.900169,0.005999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.950069,0.005503,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.000226,0.005004,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.050075,0.005036,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.100175,0.004998,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.150193,0.004039,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.200228,0.004967,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.250205,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.300062,0.005511,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.350230,0.006004,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.400072,0.006519,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.450231,0.005999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.500086,0.005519,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.550225,0.005001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.600106,0.006070,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.650233,0.005003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.700352,0.004997,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.750220,0.005491,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.800065,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.850216,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.900207,0.005995,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.950230,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.000253,0.005508,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.050102,0.005037,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.100238,0.005040,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.150124,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.200271,0.004964,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.250112,0.005508,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.300240,0.004002,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.350129,0.005041,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.400251,0.004996,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.450584,0.004539,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.500282,0.005047,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.550126,0.003959,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.600250,0.004005,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.650259,0.005005,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.700493,0.005002,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.750256,0.004505,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.800142,0.005008,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.850272,0.004999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.900123,0.005998,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.950446,0.005509,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.000164,0.005034,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.050272,0.005003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.100166,0.004040,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.150286,0.005967,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.200601,0.006997,0,0.000000,0.000000,0.000000,0.000000,0.000000 
